id,iron_mg,magnesium_mg,zinc_mg,vitamin_d_mcg,vitamin_c_mg,vitamin_b12_mcg
168143,3.11,89,0.41,0,0,0.01
168145,0.18,6,0.03,0,0,0
168146,0.38,5,0.1,0,0,0.05
168147,5.2,25,0.85,0,0,0
168148,1.5,20,1,0.2,0,0.4
168149,1.4,60,1.1,25.2,0,12
168150,0.19,15,0,0,14.3,0
168151,0.48,10,0.05,0,69,0
168152,5.09,0,0.39,0,217.6,0
168153,0.31,17,0.14,0,92.7,0
168154,0.86,20,0.17,0,43.9,0
168155,0.6,6,0.11,0,29.1,0
168156,0.09,8,0.08,0,30,0
168157,0.23,7,0.06,0,6.4,0
168158,0.9,18,0.49,0,23.8,0
168159,0.41,15,0.19,0,2.8,0
168160,3.52,64,0.75,0,0,0
168161,1.17,21,0.25,0,0,0
168162,0.93,41,0.44,0,0.6,0
168163,0.7,8,0.04,0,15,0
168164,0.98,35,0.37,0,3.2,0
168165,1.79,36,0.36,0,2.3,0
168166,2.59,30,0.18,0,5.4,0
168167,0.35,7,0.08,0,4.9,0
168168,0.29,18,0.1,0,4.8,0
168169,0.21,12,0.08,0,3.3,0
168170,1.48,51,0,0,12,0
168171,0.07,5,0.06,0,22.3,0
168172,0.49,8,0.09,0,31.7,0
168173,0.75,11,0.13,0,41.2,0
168174,0.59,7,0.06,0,41.4,0
168175,0.6,21,0.1,0,36.3,0
168176,0.14,9,0.06,0,32.9,0
168177,0,8,0.02,0,3.8,0
168178,0.29,5,0.08,0,1.9,0
168179,0.43,4,0.09,0,0.5,0
168180,2.2,6,0.12,0,0.3,0
168181,0.27,5,0.09,0,0.7,0
168182,0.22,4,0.08,0,1.1,0
168183,0.84,5,0.07,0,0.4,0
168184,0.27,11,0.53,0,33.9,0
168185,0.07,5,0.02,0,30.2,0
168186,0.26,3,0.07,0,27,0
168187,0.31,12,0.11,0,43.8,0
168188,0.91,17,0.13,0,88.9,0
168189,0.08,9,0.05,0,31.1,0
168190,0.29,10,0.11,0,0.5,0
168191,0.9,54,0.44,0,0,0
168192,0.43,30,0.28,0,19.7,0
168193,0.25,12,0.08,0,16.9,0
168194,0.28,12,0.12,0,56.4,0
